0,101001,Basic,15,5.5,2,25,5,2,9.99,1
1,101002,Basic,20,2.0,1,30,4,1,9.99,1
2,101003,Premium,45,8.0,3,28,6,3,14.99,1
3,101004,Basic,30,3.5,2,22,7,2,9.99,1
4,101005,Family,60,10.0,4,35,5,4,29.99,1
5,102001,Basic,90,20.0,8,10,2,1,9.99,0
6,102002,Premium,120,35.0,12,5,3,1,14.99,0
7,102003,Basic,75,15.0,5,15,4,0,9.99,1
8,102004,Family,100,45.0,10,8,2,1,29.99,0
9,102005,Premium,150,40.0,14,3,1,0,14.99,0
10,103001,Premium,365,95.0,28,1,0,0,14.99,0
11,103002,Family,400,150.0,30,0,0,0,29.99,0
12,103003,Premium,500,110.0,25,1,1,0,14.99,0
13,103004,Family,600,180.0,28,2,0,0,29.99,0
14,103005,Premium,700,130.0,26,1,0,0,14.99,0
15,104001,Basic,5,0.5,1,5,0,0,9.99,0
16,104002,Premium,7,2.0,1,7,1,0,14.99,0
17,104003,Basic,180,5.0,0,90,1,0,9.99,1
18,104004,Premium,250,10.0,2,60,2,1,14.99,1
19,104005,Family,120,50.0,15,3,0,5,29.99,0
20,104006,Basic,90,0.0,0,365,0,0,9.99,1
21,104007,Premium,200,5.0,1,200,8,0,14.99,1
22,105001,Basic,180,60.0,20,2,0,0,9.99,0
23,105002,Premium,240,75.0,18,3,1,0,14.99,0
24,105003,Family,180,90.0,16,4,0,0,29.99,0
25,105004,Basic,100,25.0,10,5,2,1,9.99,0
26,105005,Premium,300,85.0,20,2,0,0,14.99,0
27,106001,Family,1000,500.0,31,0,0,0,29.99,0
28,106002,Basic,1,0.0,0,1,0,0,9.99,0
29,106003,Premium,365,0.1,1,365,10,10,14.99,1
